File Title,Link,Resource Type,Subject Matter Tags,Infrastructure Tags,Geography Tags,Subject Matter Experts (SMEs),External to NCEI,Status,Reviewed By,Review Notes,Decision,Last updated
DRAFT Document Library Management Plan,https://docs.google.com/document/d/1_R8loosCazZNVfIocIEQ5jX6hsXuCGN3gmGcqFpCklA/edit,Google Doc,Document Management,Apex,NC,jason.sharp@noaa.gov,,Needs Review,,,,"July 27, 2021 10:44:06 AM CDT"
SOP - Submit Docs to Document Library,https://docs.google.com/document/d/1GldmaBAe1u1gMEhE7kGM9xQzziuYs8Aw6rwvCZOD970/edit,Google Doc,Document Management,Apex,NC,jason.sharp@noaa.gov,,Needs Review,,,,"July 27, 2021 10:44:20 AM CDT"
Archive_Ecosystem_Outline,https://docs.google.com/document/d/1bVQqgYyurrudqaNearytMabFpEGFj8QUVpi9JL35PC4/edit,Google Doc,Stewardship Documentation WG,"AMS, ATRAC, Common Ingest","CO, MS, NC, MD",donald.collins@noaa.gov,,Needs Review,,,,"July 27, 2021 11:59:54 AM CDT"
AAC Agendas and Minutes,https://docs.google.com/document/d/1U1PqpgX8t5OF5ipFPjep0H_bz1rGT86gXxJGNlzYWy4/edit,Google Doc,AAC,"ATRAC, Common Ingest",NC,robert.persons@noaa.gov,,Needs Review,,,,"July 27, 2021 11:59:09 AM CDT"
NCEI ATRAC Metadata Manual,https://docs.google.com/document/d/1TIHenz72hY55uO8HSzWD4aJvcgf8kRaJIRsCCX0vzfU/edit,Google Doc,Metadata,"ATRAC, Common Ingest",NC,philip.jones@noaa.gov,,Needs Review,,,,"July 27, 2021 1:23:27 PM CDT"
DRAFT NCEI SOP AAC to Archive Work Can Begin,https://docs.google.com/document/d/11Ynm6fx8zNBHSW4ukLj6LCeJuhhIVETP-GYxs2u0ZTA/edit,Google Doc,AAC,"ATRAC, Common Ingest",NC,robert.persons@noaa.gov,,Needs Review,,,,"July 27, 2021 11:59:15 AM CDT"
Archive File Guidance for Common Ingest,https://docs.google.com/document/d/1TTI56SwQ1mGlEzURR0i-_MVW6arVEbmNuBaDmlKaxuQ/edit,Google Doc,Common Ingest,"ATRAC, Common Ingest",NC,philip.jones@noaa.gov,,Needs Review,,,,"July 27, 2021 1:23:33 PM CDT"
Common Ingest-NC: Basic Requirements,https://docs.google.com/document/d/19jY7yQvH9GeGZVOt3Pk9I2cKAgujRI16eXrBGauHcJY/edit#heading=h.34pngastnz83,Google Doc,Common Ingest,"ATRAC, Common Ingest",NC,philip.jones@noaa.gov,,Needs Review,,,,"July 27, 2021 11:59:20 AM CDT"
NCEI SA SOP,https://docs.google.com/document/d/1sovqW_SsTGmNMMqt9dSdrIHmPdIJv57ZuRRgAvRHIMI/edit,Google Doc,"SA, SOP","ATRAC, Common Ingest",NC,philip.jones@noaa.gov,,Needs Review,,,,"July 27, 2021 1:23:39 PM CDT"
NCEI SA TEMPLATE - Rev January 2021,https://docs.google.com/document/d/15d9BqgGgfPiCybfN4pdIzbqWJph_b_KyyioaHOHlbpM/edit,Google Doc,"SA, Template","ATRAC, Common Ingest",NC,philip.jones@noaa.gov,,Needs Review,,,,"July 27, 2021 12:02:05 PM CDT"
Draft - Citation Guidance for NCEI ISO Metadata,https://docs.google.com/document/d/1zgP_U2IwdnWZtz_vMw5bEjQu8UTm-y9BK61EuT23-Xg/edit,Google Doc,Metadata,,"CO, MD, NC, MS",philip.jones@noaa.gov,,Needs Review,,,,"July 27, 2021 10:48:41 AM CDT"
